make,model,color,capacity,network,grade,condition,count
AASTRA,6865I,Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",3
AASTRA,6865I,Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",1
ABOOK,1720W,Working,"Grade B - Good Condition",4GB,Black,"Not Applicable",1
ACCESSORIZE,"UNIVERSAL 10 INCH TABLET FOLIO CASE - BIRDS BLACK","Brand New","Brand New","Not Applicable",Multicolour,"Not Applicable",22
ACCESSORIZE,"UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Brand New","Brand New","Not Applicable",Multicolour,"Not Applicable",208
Acer,4551-P322G25MNSK,"Power On Tested-Good LCD",Unknown,2GB,Silver,"Not Applicable",1
Acer,4551-P322G25MSKN,Non-working,Unknown,2GB,Silver,"Not Applicable",1
Acer,4552-P322G32MNKK,"Power On Tested-Good LCD","Grade B - Good Condition",2GB,Black,"Not Applicable",1
Acer,4820-382G25MNKS,Non-working,Unknown,2GB,Black,"Not Applicable",1
Acer,4820-38G2MNKS,Non-working,Unknown,2GB,Black,"Not Applicable",1
Acer,4830-2332G32MNKK,Non-working,Unknown,2GB,Black,"Not Applicable",2
Acer,5253-E353G32MNKK,Non-working,Unknown,2GB,Black,"Not Applicable",1
Acer,5253-E353G32MNKK,Working,"Grade B - Good Condition",3GB,Black,"Not Applicable",1
Acer,5334-333G37MNKK,Non-working,"Grade C - Acceptable Condition",3GB,Black,"Not Applicable",1
Acer,5349,Working,"Grade B - Good Condition",2GB,Black,"Not Applicable",1
Acer,"ACER ASPIRE ES1-531",Working,"Grade A - Very Good Condition",4GB,Black,"Not Applicable",1
Acer,"Acer Aspire V5-571 15.6-inch Laptop - Silver (Intel Core i3 2365M 1.4GHz, 4GB RAM, 500GB HDD, DVDSM DL, LAN, WLAN, BT, Webcam, Integrated Graphics, Windows 8 64-bit)",Working,"Grade A - Very Good Condition",4GB,"Aluminium Silver","Not Applicable",1
Acer,"Acer ICONIA W5/KDI Intel atom z2760 (1.8Ghz 2x), Win 8 32 bit,RAM 2GB HDD 64GB",Working,"Grade B - Good Condition",2GB,Silver,"Not Applicable",1
Acer,"Acer ICONIA W5/KDI Intel atom z2760 (1.8Ghz 2x), Win 8 32 bit,RAM 2GB HDD 64GB",Working,"Insurance Grade",2GB,Grey,"Not Applicable",2
Acer,AL1716E,Working,"Grade B - Good Condition","Not Applicable",Silver,"Not Applicable",1
Acer,AL1951,Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",1
Acer,AL1951,Working,"Grade B - Good Condition",Unknown,Black,"Not Applicable",1
Acer,"ASPIRE 4820 - INTEL CORE I3-380M, 2.53GHZ, 2GB RAM, 250GB HDD",Working,"Grade B - Good Condition",2GB,Black,"Not Applicable",1
Acer,"ASPIRE 5250",Working,"Grade B - Good Condition",4GB,Grey,"Not Applicable",2
Acer,"ASPIRE 5250",Working,"Grade B - Good Condition",8GB,Black,"Not Applicable",1
Acer,"ASPIRE 5253",Working,"Grade B - Good Condition",4GB,Black,"Not Applicable",1
Acer,"ASPIRE 5253",Working,"Grade A - Very Good Condition",8GB,Black,"Not Applicable",1
Acer,"ASPIRE 5741ZG/P6000",BER,"Not Graded","Not Applicable",Black,"Not Applicable",1
Acer,"ASPIRE 7530",Non-working,"Grade C - Acceptable Condition",4GB,Silver,"Not Applicable",1
Acer,"ASPIRE 7530",Working,"Grade B - Good Condition",4GB,Silver,"Not Applicable",1
Acer,"ASPIRE ONE CLOUDBOOK",Working,"Grade A - Very Good Condition",2GB,"Mocha gray","Not Applicable",1
Acer,"ASPIRE ONE NETBOOK D255 BONUS EXTRAS",Working,"Grade B - Good Condition",1GB,Black,"Not Applicable",1
Acer,"ASPIRE X3990",BER,"Grade B - Good Condition",4GB,Black,"Not Applicable",1
Acer,D255-13DGKK,Working,"Grade C - Acceptable Condition",1GB,Black,"Not Applicable",2
Acer,D255-13DGKK,Non-working,"Grade C - Acceptable Condition",1GB,Black,"Not Applicable",1
Acer,"EEE PC 1005HA",Non-working,"Grade C - Acceptable Condition",1GB,Black,"Not Applicable",1
Acer,"GO Z220+",Working,"Grade C - Acceptable Condition",8GB,Black,Unlocked,2
Acer,"GO Z220+",Working,"Grade D",8GB,Black,Unlocked,1
